"All", "Wszystko"
"Filename is too long; must be %1 characters or less", "Nazwa pliku jest za długa; musi być %1 znaków lub mniej"
"Could not parse resource url.", "Nie udało się przeanalizować adresu URL zasobu."
"Disallowed file type.", "Niedozwolony typ pliku."
"Import images directory must be writable in order to process remote images.", "Katalog obrazów importu musi być zapisywalny, aby można było przetwarzać obrazy zdalne."
"File '%1' was not found or has read restriction.", "Plik '%1' nie został znaleziony lub posiada ograniczenie odczytu."
"Invalid Stock data for insert", "Nieprawidłowe dane magazynowe do wstawienia"
"Minimum Qty", "Minimalna ilość"
"Add Minimum Qty", "Dodaj minimalną ilość"
"Could not rebuild index for empty products array", "Nie można odbudować indeksu do pustej tablicy produktów"
"The Product stock item is invalid. Verify the stock item and try again.", "Pozycja produktu w magazynie jest nieprawidłowa. Sprawdź produkt w magazynie i spróbuj ponownie."
"This product is out of stock.", "Ten produkt jest niedostępny."
"Some of the products are out of stock.", "Niektóre produkty nie są obecnie na magazynie."
"The stock item for Product in option is not valid.", "Jednostka ilości dla produktu w opcji nie jest poprawna."
"Undefined product type", "Niezdefiniowany rodzaj produktu"
"%1 is not a correct comparison method.", "%1 nie jest poprawną metodą porównania."
"No Backorders", "Bez rezerwacji"
"Allow Qty Below 0", "Zezwól na ilość mniejszą od 0"
"Allow Qty Below 0 and Notify Customer", "Zezwól na ilość mniejszą od 0 i powiadom klienta"
"The stock item was unable to be saved. Please try again.", "Nie można zapisać pozycji magazynowej. Proszę spróbuj ponownie."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.", "Pozycja magazynowa z ID ""%1"" nie znaleziona. Sprawdź identyfikator i spróbuj ponownie."
"The stock was unable to be saved. Please try again.", "Nie udało się zapisać akcji. Proszę spróbuj ponownie."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.", "Magazyn z ID ""%1"" nie znaleziony. Sprawdź identyfikator i spróbuj ponownie."
"Unable to remove Stock with id ""%1""", "Nie można usunąć stanu o identyfikatorze ""%1"""
"The stock status was unable to be saved. Please try again.", "Nie udało się zapisać stanu magazynowego. Proszę spróbuj ponownie."
"Unable to remove Stock Status for product %1", "Nie można usunąć stanu magazynowego dla produktu %1"
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.", "Wartość ""%1"" jest nieprawidłowa dla identyfikatora akcji. Wpisz stock z domyślną wartością %2, aby spróbować ponownie."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.", "Wartość ""%1"" jest nieprawidłowa dla identyfikatora pozycji magazynowej. Wprowadź zero lub liczbę inną niż zero, aby spróbować ponownie."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.", "Wartość ""%1"" jest nieprawidłowa dla identyfikatora pozycji magazynowej. Użyj wartości identyfikatora pozycji magazynowej """%2"" i spróbuj ponownie."
"Not all of your products are available in the requested quantity.", "Nie wszystkie produkty są dostępne w żądanej ilości."
"The fewest you may purchase is %1.", "Najmniej, które możesz kupić, to %1."
"Please correct the quantity for some products.", "Proszę poprawić ilość dla niektórych produktów."
"The most you may purchase is %1.", "Najwięcej, ile możnesz kupić to %1."
"The requested qty is not available", "Żądana ilość nie jest dostępna"
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.", "Nie mamy tyle ""%1"", ile zamawiasz, jednak zarezerwujemy pozostałe %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.", "Nie mamy ""%1"" w żądanej ilości, więc zarezerwujemy pozostałe %2."
"You can buy %1 only in quantities of %2 at a time.", "Możesz kupić %1 tylko w ilościach po %2 na raz."
"You can buy this product only in quantities of %1 at a time.", "Możesz kupić ten produkt tylko w ilości %1 na raz."
"Quantity increments can't use decimals. Enter a new increment and try again.", "Przyrosty ilości nie mogą używać ułamków dziesiętnych. Wprowadź nowy przyrost i spróbuj ponownie."
"Stock Status", "Stan magazynowy"
"%1 is available to buy in increments of %2", "%1 jest do kupienia w przyrostach co %2"
"Only %1 left", "Pozostało tylko %1"
"Product availability", "Dostępność produktu"
"Inventory Section", "Sekcja stanów magazynowych"
"Stock Options", "Opcje stanów"
"Decrease Stock When Order is Placed", "Zmniejsz stan magazynowy po złożeniu zamówienia"
"Set Items' Status to be In Stock When Order is Cancelled", "Ustaw status produktu na Dostępny kiedy zamówienie zostanie anulowane"
"Display Out of Stock Products", "Pokazuj produkty, których brak w magazynie"
"Products will still be shown by direct product URLs.", "Produkt będzie nadla widoczny pod bezpośrednim podanym adresem."
"Only X left Threshold", "Przedział do pozostało X produktów"
"Display Products Availability in Stock on Storefront", "Pokazuj dostępność produktów w sklepie"
"Product Stock Options", "Opcje stanów magazynowych"
"Please note that these settings apply to individual items in the cart, not to the entire cart.", "Pamiętaj, że te ustawienia odnoszą się do pojedynczych pozycji w koszyku, a nie do całego koszyka."
"Changing can take some time due to processing whole catalog.", "Zmiana może zająć trochę czasu ze względu na przetwarzanie całego katalogu."
"Automatically Return Credit Memo Item to Stock", "Automatycznie zwróć produkt z faktury korygującej do magazynu"
"Stock", "Zapasy"
"Index stock", "Indeksuj stany"
"New Permission", "Nowe uprawnienie"
"You already have a permission with this scope.", "Masz już uprawnienia z tego zakresu."
"(Allow)", "(Zezwalaj)"
"(Deny)", "(Zabroń)"
"Category Permissions", "Uprawnienia do kategorii"
"Browsing Category", "Przeglądanie kategorii"
"Display Product Prices", "Wyświetlanie cen produktów"
"No, Redirect to Landing Page", "Nie, przekieruj do strony docelowej"
"Permission with the same scope", "Uprawnienie o tym samym zakresie"
"You may need more permissions to access this category.", "Potrzebujesz uprawnień do dostępu do tej kategorii."
"You may need more permissions to access this product.", "Potrzebujesz więcej uprawnień do dostępu do tego produktu."
"You cannot add ""%1"" to the cart.", "Nie można dodać ""%1"" do koszyka."
"Permissions do not depend on store views.", "Uprawnienia nie zależą od widoku sklepu."
"All Customer Groups", "Wszystkie grupy klientów"
"Allow", "Zezwól"
"Deny", "Zabroń"
"Use parent", "Użyj nadrzędnego"
"Category Permissions Section", "Sekcja uprawnień kategorii"
"<strong class=""warning-enable-permissions"">Warning!</strong> By default this feature restricts all categories.", "<strong class=""warning-enable-permissions""Uwaga!</strong> Domyślnie ta funkcja ogranicza wszystkie kategorie."
"Allow Browsing Category", "Zezwól na przeglądanie kategorii"
"Landing Page", "Strona docelowa"
"Allow Adding to Cart", "Umożliwia dodawanie do koszyka"
"Disallow Catalog Search By", "Zablokuj przeszukiwanie katalogów względem"
"Catalog Category Permissions", "Uprawnienia do katalogu kategorii"
"Indexed permissions for categories", "Indeksowane uprawnienia dla kategorii"
"Catalog Product Permissions", "Uprawnienia do katalogu produktów"
"Indexed permissions for products", "Indeksowane uprawnienia dla produktów"
"Delete Rule", "Usuń regułę"
"Save and Apply", "Zapisz i zastosuj"
"Catalog Price Rule", "Reguły cenowe katalogu"
"Add New Rule", "Dodaj regułę"
"Apply Rules", "Zastosuj reguły"
"Conditions", "Warunki"
"Conditions (don't add conditions if rule is applied to all products)", "Warunki (nie dodawaj warunków, jeśli reguła jest zastosowana do wszystkich produktów)"
"Promotions", "Promocje"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.", "Znaleźliśmy zaktualizowane reguły, które nie zostały zastosowane. Kliknij ""Zastosuj reguły"", aby zaktualizować katalog."
"We can't apply the rules.", "Nie możemy zastosować podanych reguł."
"You deleted the rule.", "Możesz usunąć regułę."
"We can't delete this rule right now. Please review the log and try again.", "Nie możemy teraz usunąć reguły. Przejrzyj dziennik i spróbuj ponownie."
"We can't find a rule to delete.", "Nie możemy odnaleźć reguły do usunięcia."
"New Catalog Price Rule", "Nowa reguła cen w katalogu"
"Edit Rule", "Edytuj regułę"
"New Rule", "Nowa reguła"
"You saved the rule.", "Zapisałeś regułę."
"Something went wrong while saving the rule data. Please review the error log.", "Coś się zepsuło podczas zapisywania danych reguły. Przejrzyj logi błędów."
"Promo", "Promocja"
"The ""%1"" rule was unable to be saved. Please try again.", "Reguły ""%1"" nie udało się zapisać. Proszę spróbuj ponownie."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.", "Reguła z ID ""%1"" nie została znaleziona. Sprawdź identyfikator i spróbuj ponownie."
"The ""%1"" rule couldn't be removed.", "Reguła ""%1"" nie może zostać usunięta."
"Catalog rule indexing failed. See details in exception log.", "Indeksowanie reguły katalogu nie powiodła się. Zobacz szczegóły w dzienniku wyjątków."
"Percentage discount should be between 0 and 100.", "Zniżka procentowa powinno zawierać się między 0 i 100."
"Discount value should be 0 or greater.", "Wartość znizki powinno być 0 lub większa."
"Unknown action.", "Nieznane działanie."
"Update the Product", "Aktualizuj produkt"
"Rule price", "Reguła ceny"
"To Fixed Value", "Do stałej wartości"
"To Percentage", "Do wartości procentowej"
"By Fixed value", "O stałą wartość"
"By Percentage", "O wartość procentową"
"Update product's %1 %2: %3", "Aktualizacja produktu %1 %2: %3"
"Apply as percentage of original", "Zastosowanie jako procent oryginału"
"Apply as fixed amount", "Zastosowanie jako stała kwota"
"Adjust final price to this percentage", "Dostosuj cenę końcową do tego procentu"
"Adjust final price to discount value", "Dostosuj cenę końcową na wartość rabatu"
"Conditions Combination", "Kombinacja warunków"
"Product Attribute", "Cecha produktu"
"Undefined condition type ""%1"" passed in.", "Przekazano niezdefiniowany typ warunku ""%1""."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2", "Przekazano niezdefiniowany operator SQL ""%1". Prawidłowe operatory to: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2", "Przekazano niezdefiniowany operator reguły ""%1"". Prawidłowe operatory to: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2", "Przekazano niezdefiniowany agregator reguł ""%1"". Prawidłowe operatory to: %2"
"Updated rules applied.", "Zaktualizowane reguły zostały zastosowane."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.", "Wyłączono %1, katalog cena zasad w oparciu o atrybut ""%2""."
"Catalog Rule Product", "Produkt reguły katalogu"
"Indexed rule/product association", "Indeksowanie powiązań reguła/produkt"
"Catalog Product Rule", "Reguła produktu katalogu"
"Indexed product/rule association", "Indeksowanie powiązań produkt/reguła"
"Rule Information", "Informacje o regule"
"Rule Name", "Nazwa reguły"
"Priority", "Priorytet"
"Discard subsequent rules", "Odrzuć kolejne reguły"
"Future Update already exists in this time range. Set a different range and try again.", "Przyszła aktualizacja już istnieje w tym przedziale czasowym. Ustaw inny zakres i spróbuj ponownie."
"Smth went to exception", "Smth poszedł do wyjątków"
"Scheduled Changes", "Planowane zmiany"
"Update Information", "Informacje o aktualizacji"
"Remove Catalog Price Rule from Update", "Usunąć regułę katalogu cen z aktualizacji"
"Schedule Update", "Harmonogram aktualizacji"
"Update Name", "Zaktualizowana nazwa"
"Save as a New Update", "Zapisz jako nową aktualizację"
"Move to Another Update", "Przenieść do innej aktualizacji"
"Delete the Update", "Usuń aktualizację"
"The catalog price rule will be removed from the update and all scheduled changes will be lost.", "Reguła cen koszyka zostanie usunięta z aktualizacji, a wszystkie zaplanowane zmiany zostaną utracone."
"200", "200"
"100", "100"
"50", "50"
"30", "30"
"20", "20"
"End Time", "Czas zakończenia"
"Catalog Price Rules", "Reguły cenowe katalogu"
"Remove Catalog Price Rule from Campaign", "Usuń regułę ceny z kampanii"
"Catalog Advanced Search", "Zaawansowane wyszukiwanie w katalogu"
"Advanced Search Results", "Wyniki wyszukiwania zaawansowanego"
"Search Weight", "Waga wyszukiwania"
"Relevance", "Znaczenie"
"Search results for: '%1'", "Wyniki wyszukiwania dla: '%1'"
"Minimum Search query length is %1", "Minimalna długość zapytania wynosi %1"
"Search term is empty", "Wyszukiwane hasło jest puste"
"Enter a search term and try again.", "Wpisz wyszukiwane hasło i spróbuj ponownie."
"%1 and greater", "%1 i więcej"
"up to %1", "do %1"
"Default product collection strategy not found", "Nie znaleziono domyślnej strategii zbierania produktów"
"The bucket doesn't exist.", "Wiadro nie istnieje."
"Disable Notice", "Wyłącz powiadomienie"
"Test Exception", "Testuj wyjątek"
"Search Settings", "Ustawienia wyszukiwania"
"Please enter a valid price range.", "Proszę wprowadzić poprawny zakres cen."
"Advanced Search", "Wyszukiwanie zaawansowane"
"<strong>%1 item</strong> were found using the following search criteria", "<strong>%1 produktów</strong> zostało znalezionych przy pomocy następujących kryteriów"
"<strong>%1 items</strong> were found using the following search criteria", "<strong>%1 produktów</strong> zostało znalezionych przy pomocy następujących kryteriów"
